CODE,PRODUCT_NAME,ATC_CODE,DOSAGE_FORM,PACK_SIZE,PACK_PRICE
80314001,MINOXIDIL (NAMIBIA),C02DC01,CAPSULE,30,138.81
80438001,MIST MORPH (NAMIBIA),N02AA01,SYRUP,1000,212.29
80463001,AMLODIPINE (NAMIBIA),C08CA01,SUSPENSION,150,
80476001,PREDNISONE (NAMIBIA),H02AB07,SUPPOSITORY,10,
80567001,URSO-DEOXYCHOLIC ACID (NAM),A05AA02,SUSPENSION,180,
80589001,MIST POST CIT (NAMIBIA),A12BA02,SYRUP,100,158.93
80593001,MINOXIDIL (NAMIBIA),C02DC01,CAPSULE,30,138.81
80711001,THIAMINE (NAMIBIA),A11DA01,SUSPENSION,180,225.98
80871001,FUROSEMIDE (NAMIBIA),C03CA01,SUSPENSION,100,319.93
82276001,TNT (NAMIBIA),C01DA02,OINTMENT,30,209.67
87121001,MIST MORPH (NAMIBIA),N02AA01,SUSPENSION,200,55.2
87121002,MIST MORPH (NAMIBIA),N02AA01,SUSPENSION,500,78.2
87136001,MYLAN TENOFOVIR (NAMIBIA),J05AF07,TABLET,30,257.85
87148001,MYLAN NEVIRAPINE (NAMIBIA),J05AG01,TABLET,60,
87172001,SERUM IPV,J07BF04,INJECTION,1,
87173001,MYLAN LAMIVUDINE/NEVIRA/ZIDO,J05AR05,DISPERSABLE TABLET,60,
87254001,PRAZIQUANTEL (NAMIBIA,P02BA01,SUSPENSION,60,301.3
87311001,FLUCONAZOLE (NAMIBIA),J02AC01,SUSPENSION,60,241.73
87312001,FLUCONAZOLE (NAMIBIA),J02AC01,SUSPENSION,60,151.8
87313001,FLUCONAZOLE (NAMIBIA),J02AC01,SUSPENSION,60,608.47
87362001,CEFTAZIDIME (NAMIBIA),S02AA00,DROPS,10,285.2
87371001,LACOSAMIDE (NAMIBIA),N03AX18,TABLET,156,8990.82
87381001,POTASSIUM CHLORIDE (NAMIBIA),A12BA01,CAPSULE,30,
87382001,PREDNISOLONE (NAMIBIA),H02AB06,CAPSULE,30,
87382002,PREDNISOLONE (NAMIBIA),H02AB06,CAPSULE,100,
87383001,PREDNISOLONE (NAMIBIA),H02AB06,CAPSULE,30,
87384001,PREDNISOLONE (NAMIBIA),H02AB06,CAPSULE,30,
87385001,NOV DEXAMETHASONE (NAMIBIA),H02AB02,CAPSULE,30,
87385002,NOV DEXAMETHASONE (NAMIBIA),H02AB02,CAPSULE,100,1711.32
87386001,DEXAMETHASONE (NAMIBIA),H02AB02,CAPSULE,30,
87387001,DEXAMETHASONE (NAMIBIA),H02AB02,CAPSULE,30,5169.14
87388001,DEXAMETHASONE (NAMIBIA),H02AB02,CAPSULE,30,
87389001,MAVENCLAD (NAMIBIA),L04AA40,TABLET,1,
87389002,MAVENCLAD (NAMIBIA),L04AA40,TABLET,4,
87389003,MAVENCLAD (NAMIBIA),L04AA40,TABLET,6,
87390001,MELATONIN (NAMIBIA),N05CH01,SYRUP,50,
87391001,MELATONIN (NAMIBIA),N05CH01,SYRUP,100,
87392001,MELATONIN (NAMIBIA),N05CH01,SYRUP,50,
87393001,MELATONIN (NAMIBIA),N05CH01,SYRUP,100,
87394001,MELATONIN (NAMIBIA),N05CH01,CAPSULE,30,
87395001,MELATONIN (NAMIBIA),N05CH01,CAPSULE,30,
87396001,NOV VIT D3 (NAMIBIA),A11CC05,CAPSULE,30,46
87396002,NOV VIT D3 (NAMIBIA),A11CC05,CAPSULE,100,175.95
87397001,VITAMIN D3 (NAMIBIA),A11CC05,CAPSULE,30,81.1
87398001,VITAMIN D3 (NAMIBIA),A11CC05,CAPSULE,30,87.2
87398002,DISC VITAMIN D3 (NAMIBIA),A11CC05,CAPSULE,100,
87399001,NOV VITAMIN D3 (NAMIBIA),A11CC05,CAPSULE,8,45.7
87399002,NOV VITAMIN D3 (NAMIBIA),A11CC05,CAPSULE,30,
